artista,genero,tipo,nombre,año_lanzamiento,id,bio,oyentes,reproducciones,similar_1,similar_2,similar_3
Tino Di Geraldo,flamenco,track,Jaco,2000,0JZm6xoQekQ9t3mnAXJth8," <a href=""https://www.last.fm/music/Tino+Di+Geraldo"">Read more on Last.fm</a>",1654,5856,Carles Benavent,Jorge Pardo y Chano Domínguez,Jorge Pardo
Diego Amador,flamenco,track,La María,2000,5e3d2muK194iengEwz50fJ,"Diego Amador (Seville, 1973). Multi instrumentalist, singer and composer. Diego Amador, El Churri, is the youngest of the Amador siblings, the founders of Pata Negra. He began his professional career working with them, but can also be heard with Potito, Pedro Sierra, La Susi and others. Pianist, guitar, bass player and vocalist, Diego is a complete artist that represents flamenco’s current surprising vitality. His interest in music means he has become a master of multiple to be able to compose, record and produce. <a href=""https://www.last.fm/music/Diego+Amador"">Read more on Last.fm</a>",10205,41334,Son De La Frontera,Marina Heredia,Chano Lobato
Recortaos,flamenco,track,El Tito,2000,0mhBHaIDJvQbdSdvxWUl1T," <a href=""https://www.last.fm/music/Recortaos"">Read more on Last.fm</a>",50,265,El Viejín,Guadiana,El Potito
Jan Davis & the Spain Gang,flamenco,track,Bolero,2000,5DkiwYqAQYomVJS3fUsUOd," <a href=""https://www.last.fm/music/Jan+Davis+&+the+Spain+Gang"">Read more on Last.fm</a>",25,147,,,
Solo Compas,flamenco,track,Falseta tradicional Tarantos,2000,6MnfDKD6ts6eZjJ5KVgrsb," <a href=""https://www.last.fm/music/Solo+Compas"">Read more on Last.fm</a>",1061,8095,Manuel Salado,Sevillanas,Chicuelo
Diego Carrasco,flamenco,track,Poeta de Cai,2000,47kinniCmjgF0RDS6rfvyW,"Diego Carrasco Fernández was born in Jerez de la Frontera (Cádiz) in 1954. He studied flamenco guitar in Jerez de la Frontera with master player Rafael del Aguila. During his first stage as a professional musician Carrasco accompanied on the guitar some of the biggest flamenco singers in his home town, such as Tía Anica la Periñaca, Tío Gregorio El Borrico, Fernando Terremoto, Sernita de Jerez, etc. During that period, Carrasco's artistic name was ""Tate de Jerez. <a href=""https://www.last.fm/music/Diego+Carrasco"">Read more on Last.fm</a>",26622,91283,Duquende,Carmen Linares,Son De La Frontera
Carles Benavent,flamenco,track,Eterno / Mi Sueño,2000,1r4SOnkznqPa5PcAHkpuWm,"Birth: Barcelona, 1954 On several occasions flamenco has felt attracted by jazz, and vice-versa. Paco de Lucía was one of the first to introduce 'jazz' instruments into his flamenco compositions. This is how Carles Benavent became initiated in flamenco, and he did so to such an extent, that at present we could almost say that he is more of a flamenco musician that a jazz musician. Paco de Lucía instructed him in his art form, but Benavent has contributed his own strokes of genius <a href=""https://www.last.fm/music/Carles+Benavent"">Read more on Last.fm</a>",6261,48311,Jorge Pardo,Tino Di Geraldo,Moraíto
Guadiana,flamenco,track,Alhambra,2000,3zQiYHVHSFgDHR78i1SmKa,"Two artists share this name: 1) Antonio Suárez Salazar, ‘Guadiana’ (born 1955, in Badajoz, Spain), is a flamenco singer from the Porrina family. He recorded his first disc (Cuando el río suena) in 1999, and Brillo de Luna in May 2002. 2) Guadiana Almena (born September 4, 1986, in Badajoz, Spain) is a Spanish singer, who debuted through a reality TV singing competition, Operación Triunfo 2009, in which she finished 16th. <a href=""https://www.last.fm/music/Guadiana"">Read more on Last.fm</a>",2719,9968,Montse Cortés,El Potito,Potito
Victor M. Rosa,flamenco,track,Alegrías: Solo Guitarra y Compás,2000,5YflJvTSizqqgz38h0vzch," <a href=""https://www.last.fm/music/Victor+M.+Rosa"">Read more on Last.fm</a>",350,953,lalo tejada,Juan María Real,El Trini
Jesus Heredia,flamenco,track,Mineras,2000,5h3dbPciYloxPBDqVgWV2Y," <a href=""https://www.last.fm/music/Jesus+Heredia"">Read more on Last.fm</a>",310,806,Jose Galan,Placido Gonzalez,Jose De La Tomasa
Solo Compas,flamenco,track,Tarantos con guitarra 52 por minuto,2000,3nFOl4VXn2kNkCkOW0ryT9," <a href=""https://www.last.fm/music/Solo+Compas"">Read more on Last.fm</a>",1061,8095,Manuel Salado,Sevillanas,Chicuelo
Potito,flamenco,track,Viento Amargo,2000,08dHgsGGyk4O3nboD31mGx,"Antonio Vargas Carrión, ""El Guara"" (Sevilla,1​ 1972 ) es un charolista español gitano de Alcalá y aficionado al baile flamenco, Desde muy niño, actuaba cantando flamenco y bailando en los barcos de turistas, en el río Guadalquivir. Aun adolescente, colaboró con artistas como Paco de Lucía (""Zyrjab""),​ y en 1996 ya había publicado dos discos con las colaboraciones de Vicente Amigo y otros. Después, aparte de realizar un gran número de actuaciones a nivel internacional <a href=""https://www.last.fm/music/Potito"">Read more on Last.fm</a>",8253,41228,Montse Cortés,El Potito,Diego Carrasco
Jesus Heredia,flamenco,track,Levantica,2000,3XzYEBuaIgz35KWKvp6VYq," <a href=""https://www.last.fm/music/Jesus+Heredia"">Read more on Last.fm</a>",310,806,Jose Galan,Placido Gonzalez,Jose De La Tomasa
Jesus Heredia,flamenco,track,Tarrantos de linares,2000,5cSKrF3qpPAa8HUnZAthfL," <a href=""https://www.last.fm/music/Jesus+Heredia"">Read more on Last.fm</a>",310,806,Jose Galan,Placido Gonzalez,Jose De La Tomasa
Solo Compas,flamenco,track,Tarantos con guitarra 95 por minuto,2000,5REnNXt4JJ6FpcTo9pcRdh," <a href=""https://www.last.fm/music/Solo+Compas"">Read more on Last.fm</a>",1061,8095,Manuel Salado,Sevillanas,Chicuelo
Woomera,flamenco,track,Rumba Del Sol,2000,4aoIrhPu3VmeEYNgHCHm1t,"There are two artists with the name Woomera: 1. Woomera is the name of a performer(or group of performers) of traditional Aboriginal music. 2. Woomera was a band, but they changed their name to Autorotation. http://www.autorotation.org <a href=""https://www.last.fm/music/Woomera"">Read more on Last.fm</a>",1072,3975,Mark Atkins,Ash Dargan,Australian Aboriginal
Los 4 de Jean,flamenco,track,El abanico,2000,7q0w0VSknQrDxtwqSOP1Xw," <a href=""https://www.last.fm/music/Los+4+de+Jean"">Read more on Last.fm</a>",17,73,Olga Barreto,,
Cesar Manrique,flamenco,track,"Sombra de la Luna, Pt. 1",2000,6t12V1YjKludWIzBj16ifD," <a href=""https://www.last.fm/music/Cesar+Manrique"">Read more on Last.fm</a>",104,966,Harun Tekin,Deniz Arcak,Aga B
El Lebrijano,flamenco,track,Que Hermoso Pelo Tiene - Bulerías,2000,04EOhHCBfXC2ycApDYO2jr,"Juan Peña Fernández (8 August 1941 – 13 July 2016), also known as Juan Peña ""El Lebrijano"" or simply El Lebrijano, was a Spanish Gitano (Roma) musician, the nephew of Perrate de Utrera. Born in Lebrija, province of Seville, he began to play flamenco guitar as a child, accompanying singers such as La Paquera de Jerez in 1950, but eventually turned to Flamenco singing. In 1964, he won the championship at the Competition of Mairena del Alcor, one of the most important Flamenco music festivals. <a href=""https://www.last.fm/music/El+Lebrijano"">Read more on Last.fm</a>",13637,68390,Antonio Mairena,Chano Lobato,Remedios Amaya
Woomera,flamenco,track,Tango Naradan,2000,1e4mml8mPNncWNoIJ6QcnL,"There are two artists with the name Woomera: 1. Woomera is the name of a performer(or group of performers) of traditional Aboriginal music. 2. Woomera was a band, but they changed their name to Autorotation. http://www.autorotation.org <a href=""https://www.last.fm/music/Woomera"">Read more on Last.fm</a>",1072,3975,Mark Atkins,Ash Dargan,Australian Aboriginal
Woomera,flamenco,track,Solea Parabruma,2000,4934rKX0tmNDWrNhESmPtJ,"There are two artists with the name Woomera: 1. Woomera is the name of a performer(or group of performers) of traditional Aboriginal music. 2. Woomera was a band, but they changed their name to Autorotation. http://www.autorotation.org <a href=""https://www.last.fm/music/Woomera"">Read more on Last.fm</a>",1072,3975,Mark Atkins,Ash Dargan,Australian Aboriginal
Cesar Manrique,flamenco,track,La Calma,2000,7mEwbxFfTev5dhkvt7yKP7," <a href=""https://www.last.fm/music/Cesar+Manrique"">Read more on Last.fm</a>",104,966,Harun Tekin,Deniz Arcak,Aga B
Spanish Classic Guitar,flamenco,track,Al tajo,2000,57TXlnft5IKrYSuhPgCGUk," <a href=""https://www.last.fm/music/Spanish+Classic+Guitar"">Read more on Last.fm</a>",2442,30900,Spanish Guitar Lounge Music,Spanish Guitar Chill Out,Guitarra Clásica Española
Imperio De Triana,flamenco,track,Dolor que causa una ausencia,2000,4BrJ6IU5KRZcvsFe2dKsEk," <a href=""https://www.last.fm/music/Imperio+de+Triana"">Read more on Last.fm</a>",345,1208,Paquita Rico,Carmen Sevilla,Luisa Ortega
Ana Reverte,flamenco,track,Muñeca de Placer - Colombianas,2000,7g05c1imfWJMBHYmvI3yYM," <a href=""https://www.last.fm/music/Ana+Reverte"">Read more on Last.fm</a>",1245,5078,Brumas,Requiebros,Rafael Farina
Michel De Malaga,flamenco,track,Puro cani,2000,23jEHkaruobQLK8FrBDx7O," <a href=""https://www.last.fm/music/Michel+de+Malaga"">Read more on Last.fm</a>",7,59,,,
Woomera,flamenco,track,Seguilla Inua,2000,0STW58Uq7l5VfpfEfyCWS9,"There are two artists with the name Woomera: 1. Woomera is the name of a performer(or group of performers) of traditional Aboriginal music. 2. Woomera was a band, but they changed their name to Autorotation. http://www.autorotation.org <a href=""https://www.last.fm/music/Woomera"">Read more on Last.fm</a>",1072,3975,Mark Atkins,Ash Dargan,Australian Aboriginal
Woomera,flamenco,track,Rasgueo Bima,2000,7kIFPB3PXnQnyXKhRzJSLL,"There are two artists with the name Woomera: 1. Woomera is the name of a performer(or group of performers) of traditional Aboriginal music. 2. Woomera was a band, but they changed their name to Autorotation. http://www.autorotation.org <a href=""https://www.last.fm/music/Woomera"">Read more on Last.fm</a>",1072,3975,Mark Atkins,Ash Dargan,Australian Aboriginal
Juana Amaya,flamenco,track,"Flamenco,Siguiriyas con Guitarra 100",2000,52XjPL2lkBQ99EdiRfpgFk," <a href=""https://www.last.fm/music/Juana+Amaya"">Read more on Last.fm</a>",419,3538,Jose Galvan,Manuel Salado,Adela Campallo
The Gourds,flamenco,track,Flamenco Cabaret,2000,7LvP0s1gKAJljWqGQiy2a7,"The Gourds, an American alternative country band, formed in Austin, Texas in 1994. Evolving, in part, from the Picket Line Coyotes and the Grackles, the Gourds original line-up consists of Kevin Russell (vocals, guitar, mandolin), Jimmy Smith (vocals, bass, guitar), Claude Bernard (accordion, guitar, vocals), and Charlie Llewellin (drums, percussion). Llewellin was replaced by current drummer Keith Langford shortly after the second album was recorded <a href=""https://www.last.fm/music/The+Gourds"">Read more on Last.fm</a>",87251,778095,Old 97's,Shinyribs,Charlie Robison
Charbel Rouhana,flamenco,track,Flamenco,2000,3zLnZYXFG7vOmoyd5bJhKa,"Charbel Rouhana (Arabic: شربل روحانا) is one of the finest oud players in Lebanon. Born in 1965 in Aamchit (a town north of Beirut), Charbel pursued his music education at the Holy-Spirit University in Kaslik and obtained his diploma in oud instrumentation in 1986 and his M.A. in Musicology in 1987. One of his major achievements is establishing a new methodology in playing the oud. This method was published and adopted by the National Conservatory of Music and the Faculty of Music in the Holy Spirit University <a href=""https://www.last.fm/music/Charbel+Rouhana"">Read more on Last.fm</a>",20656,128544,May Nasr,Simon Shaheen,Haytham Safia
Juana Amaya,flamenco,track,"Flamenco, Soleá por Bulerias, Final",2000,4uybquEw2kHdQqO0sJeHFr," <a href=""https://www.last.fm/music/Juana+Amaya"">Read more on Last.fm</a>",419,3538,Jose Galvan,Manuel Salado,Adela Campallo
Juana Amaya,flamenco,track,"Flamenco,Siguiriyas 3ª parte letra Siguiriyas",2000,5LrqebE44P7U0EDCvvODsn," <a href=""https://www.last.fm/music/Juana+Amaya"">Read more on Last.fm</a>",419,3538,Jose Galvan,Manuel Salado,Adela Campallo
Juana Amaya,flamenco,track,"Flamenco, Soleá por Bulerias, Sòlo de Pie",2000,7lG2YzjmjG0wT28k5AhyfD," <a href=""https://www.last.fm/music/Juana+Amaya"">Read more on Last.fm</a>",419,3538,Jose Galvan,Manuel Salado,Adela Campallo
Jose Galvan,flamenco,track,"Flamenco,Siguiriyas Final Macho",2000,26COW7Y12GaUvhRgIYx88D," <a href=""https://www.last.fm/music/Jose+Galvan"">Read more on Last.fm</a>",685,5536,Miguel Poveda,Chano Lobato,Carmen Linares
Juana Amaya,flamenco,track,"Flamenco,Siguiriyas con Guitarra 200",2000,7LcAhFMa34fxLJPBqdqWN2," <a href=""https://www.last.fm/music/Juana+Amaya"">Read more on Last.fm</a>",419,3538,Jose Galvan,Manuel Salado,Adela Campallo
