,artista,genero,tipo,nombre,año_lanzamiento,id,bio,oyentes,reproducciones,similar_1,similar_2,similar_3
902,Miles Davis,orchestra,album,The Essential Miles Davis,2001,23CsInPSHn88bjLSPIFVh9,"Miles Davis (Miles Dewey Davis III, Alton, Illinois, May 26, 1926 – Santa Monica, California, September 28, 1991) was an American trumpeter, bandleader and composer. Widely considered one of the most influential musicians of the 20th century, Miles Davis was, with his musical groups, at the forefront of several major developments in jazz music, including bebop, cool jazz, hard bop, modal jazz, and jazz fusion. Many well-known musicians rose to prominence as members of Davis' ensembles <a href=""https://www.last.fm/music/Miles+Davis"">Read more on Last.fm</a>",2154160.0,73729849.0,John Coltrane,Miles Davis Quintet,Wayne Shorter
903,Sofia Gubaidulina,orchestra,album,Gubaidulina: 7 Worte; 10 Preludes; De profundis,2001,3RicqPqe0KRc0hsjtyC2iZ,"Sofia Asgatovna Gubaidulina, (Tatar Saniya Äsğät qızı Ğobäydullina, Russian София Асгатовна Губайдулина) (24 October 1931-13 March 2025) is a Soviet-Tatar composer. Lives in Germany since 1991. Gubaidulina was born in Chistopol, in the Tatar Republic. She studied composition and piano at the Kazan Conservatory, graduating in 1954. In Moscow she undertook further studies at the Conservatory with Nikolay Peyko until 1959, and then with Shebalin until 1963. <a href=""https://www.last.fm/music/Sofia+Gubaidulina"">Read more on Last.fm</a>",43244.0,342281.0,Luigi Nono,Kaija Saariaho,Helmut Lachenmann
904,Capriccio Stravagante,orchestra,album,Versailles. L'île enchantée,2001,72aIVDbghswEiEzICQkMPt,"http://www.stravagante.com/ <a href=""https://www.last.fm/music/Capriccio+Stravagante"">Read more on Last.fm</a>",790.0,8434.0,Camerata Köln,Ensemble Elyma,Skip Sempé
905,Sir Neville Marriner/Dame Janet Baker/Raymond Leppard/Yehudi Menuhin,orchestra,album,Bach & Handel: Solo Cantatas & Arias,2001,0fUhPk8de6w9JqvS3jtuOU," <a href=""https://www.last.fm/music/Sir+Neville+Marriner%2FDame+Janet+Baker%2FRaymond+Leppard%2FYehudi+Menuhin"">Read more on Last.fm</a>",4.0,11.0,Monteverdi Choir,Sviatoslav Richter,
906,Frank Martin,orchestra,album,Frank Martin: Music for Piano & Orchestra,2001,4uch1HfMukhWLxJLwr5BxB,"Frank Martin (15 September 1890 – 21 November 1974) was a Swiss composer, who lived a large part of his life in the Netherlands. He was born in Geneva, the tenth and last child of Charles Martin, a pastor. Before he started school, he was already playing the piano and improvising. At nine, he was composing complete, fully formed songs, without having had any instruction in song forms or harmony. A performance of Bach's St. Matthew Passion which he heard at the age of twelve left upon him an ineradicable impression <a href=""https://www.last.fm/music/Frank+Martin"">Read more on Last.fm</a>",9425.0,68630.0,Einar Englund,Arthur Honegger,Hans Werner Henze
907,"Joaquin Achúcarro, Euskadiko Orchestra Sinfonikoa & Gilbert Varga",orchestra,album,Maurice Ravel: Piano Concertos,2001,1ADm02FJHe7lGJ23cH5ZC8," <a href=""https://www.last.fm/music/Joaquin+Ach%C3%BAcarro,+Euskadiko+Orchestra+Sinfonikoa+&+Gilbert+Varga"">Read more on Last.fm</a>",33.0,202.0,,,
908,Renaud Capuçon,orchestra,album,Le Boeuf sur le toit,2001,1GuWu2loCsZQACufPYHyP5,"The leading French violinist of his generation, Renaud Capuçon is established internationally as a soloist and chamber musician of distinction. Born in Chambéry, he studied at the Paris Conservatoire, winning first prizes for both violin and chamber music. In 1995, he won the Prize of the Berlin Academy of Arts and went on to study with Thomas Brandis and later, Isaac Stern, Shlomo Mintz and Augustin Dumay. At the invitation of Claudio Abbado he became concertmaster of the Gustav Mahler Jugendorchester <a href=""https://www.last.fm/music/+noredirect/Renaud+Capu%C3%A7on"">Read more on Last.fm</a>",10467.0,78783.0,Isabelle Faust,Alexandre Tharaud,Théotime Langlois de Swarte
909,Maxim Vengerov,orchestra,album,Vengerov & Virtuosi,2001,3FtWRqfcIftuHYwZpnweng,"Maxim Vengerov (born August 20, 1974 in the Siberian Federal District capital, Novosibirsk, Russia) is a violinist. Vengerov was five when he received his first violin lessons from Galina Turtschaninova and later at the Royal Academy of Music in London (Junior Department). He later studied with the legendary violin teacher Zakhar Bron and was still only ten when he won the Junior Wieniawski Competition in Poland. Recital engagements in Moscow and Leningrad (St. <a href=""https://www.last.fm/music/Maxim+Vengerov"">Read more on Last.fm</a>",37260.0,193820.0,Gil Shaham,Владимир Ашкенази,Vilde Frang
910,Josef Strauss,orchestra,album,"Strauss, Josef: Edition - Vol. 20",2001,3Mj3c7B2kedrG2NPvtEnAT,"Josef Strauss (August 20, 1827 - July 22, 1870) was an Austrian composer. He was fondly referred to as 'Pepi' by his family and close friends. The son of Johann Strauss I and brother of Johann Strauss II and Eduard Strauss, he was born in Vienna. He worked initially as an engineer and designer before joining the family orchestra in the 1850s. His academic achievements at an early age do not point to him being a composer as he was also destined by <a href=""https://www.last.fm/music/Josef+Strauss"">Read more on Last.fm</a>",26060.0,110986.0,Carl Michael Ziehrer,Eduard Strauss,Johann Strauss I
911,Dizzy Gillespie,orchestra,album,Cognac Blues,2001,18Bllh87WqbYSYgHs22R8B,"John Birks ""Dizzy"" Gillespie (October 21, 1917 – January 6, 1993) was an American jazz trumpeter, bandleader, composer and occasional singer. Dizzy Gillespie was a trumpet virtuoso and improviser, building on the virtuoso style of Roy Eldridge but adding layers of harmonic complexity previously unknown in jazz. His beret and horn-rimmed spectacles, his scat singing, his bent horn, pouched cheeks and his light-hearted personality were essential in popularizing bebop. <a href=""https://www.last.fm/music/Dizzy+Gillespie"">Read more on Last.fm</a>",688844.0,6385479.0,Charlie Parker,Clifford Brown,Dexter Gordon
