artista,genero,tipo,nombre,año_lanzamiento,id,bio,oyentes,reproducciones,similar_1,similar_2,similar_3
Michel Camilo,tango,track,Aire De Tango,2000,3DcmYIYLpSK1AlVMIyZshk,"Michel Camilo (born April 4, 1954) is a pianist and composer from Santo Domingo, Dominican Republic. He is known as a great jazz, latin and classical pianist with superb technical ability, and has played and recorded with many world-famous musicians. Michel lists some of his main influences as Chick Corea, Keith Jarrett, Oscar Peterson, Bill Evans, and Art Tatum. Michel was born into a musical family and as a young child showed great aptitude for the accordion that his parents gave him. <a href=""https://www.last.fm/music/Michel+Camilo"">Read more on Last.fm</a>",103977,991675,Michel Petrucciani,Chucho Valdés,Gonzalo Rubalcaba
Johann Sebastian Bach,tango,track,Tango Aria (Air on the G String),2000,0MJgtHcv1Wjv4Wxc9nJATo,"Johann Sebastian Bach (31 March 1685 – 28 July 1750) was a German composer and musician of the late Baroque period. He composed a wide range of music across various instruments and forms, including orchestral works such as the Brandenburg Concertos; solo instrumental pieces like the cello suites and the sonatas and partitas for solo violin; keyboard compositions including the Goldberg Variations and The Well-Tempered Clavier; organ works such as <a href=""https://www.last.fm/music/Johann+Sebastian+Bach"">Read more on Last.fm</a>",2410083,93325190,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Georg Friedrich Händel
Jesus Heredia,tango,track,Tangos Trianeros Gitanos,2000,5J892zpNVFHgbTPiC1GDAb," <a href=""https://www.last.fm/music/Jesus+Heredia"">Read more on Last.fm</a>",310,806,Jose Galan,Placido Gonzalez,Jose De La Tomasa
King Putreak,tango,track,Tango del Tongao,2000,4siItqfRh1zAFSANpnFcsp," <a href=""https://www.last.fm/music/King+Putreak"">Read more on Last.fm</a>",723,6591,King Putreak & The Vientre,huevos canos,El Sombrero Del Abuelo
Juana Amaya,tango,track,Tangos Solo Compás = 166,2000,4DskXDzXGAZALcNCoWjESh," <a href=""https://www.last.fm/music/Juana+Amaya"">Read more on Last.fm</a>",419,3538,Jose Galvan,Manuel Salado,Adela Campallo
Lole Y Manuel,tango,track,Tangos de la Pimienta,2000,3t8wNUARbCyo7SJqkD8wrl,"Dolores Montoya Rodriguez (""Lole,"" born in Sevilla, 1954) and Manuel Molina Jimenez (""Manuel,"" born in Ceuta, 1948) are a flamenco duo that started, as a project, in 1972. The couple was the first flamenco couple ever to target an audience not familiar with flamenco, and are precursors of ""nuevo flamenco"" (New Flamenco). Their first album was produced in 1975, with a title representative of Spain's social realities at the time: ""Nuevo dia"" (New Day). <a href=""https://www.last.fm/music/Lole+Y+Manuel"">Read more on Last.fm</a>",118084,668557,Enrique Morente,Camarón de la Isla,Estrella Morente
Vicente Amigo,tango,track,Compare Manuel (Dedicado a Queco) - Tangos,2000,2wiP5IZgD2ICYaeCfpyBvR,"Vicente Amigo (born 1967, Guadalcanal) is a Spanish flamenco guitarist, singer and composer. He was raised in Cordoba where he studied guitar playing, most famously under Manolo Sanlúcar, a renowned flamenco guitarist with whom he worked for ten years. Amigo gained high regard in the flamenco scene at a relatively young age. He is considered by many the crown prince of the great flamenco guitarist Paco de Lucía, who is considered the father of modern flamenco guitar playing. <a href=""https://www.last.fm/music/Vicente+Amigo"">Read more on Last.fm</a>",127891,1133466,Paco de Lucía,Tomatito,Estrella Morente
Juana Amaya,tango,track,Tangos Solo Compás = 108,2000,4LPTkzQbUljf2JXd9ziKsh," <a href=""https://www.last.fm/music/Juana+Amaya"">Read more on Last.fm</a>",419,3538,Jose Galvan,Manuel Salado,Adela Campallo
Familia Montoya,tango,track,Tangos de Mi Abuela,2000,2QZAaai9zMW0qAjavzwxhv," <a href=""https://www.last.fm/music/Familia+Montoya"">Read more on Last.fm</a>",94,533,El Agujetas,Fernanda de Utrera,Ramón El Portugués
Mara Rey,tango,track,Tangos. Sólo Cante por Mara Rey,2000,2tlrrd2LACW3EnYeWepDoP," <a href=""https://www.last.fm/music/Mara+Rey"">Read more on Last.fm</a>",14,39,,,
