artista,genero,tipo,nombre,año_lanzamiento,id,bio,oyentes,reproducciones,similar_1,similar_2,similar_3
Krzysztof Krawczyk,tango,track,Takie tango,2000,1WQVBUa9CiZRlHI3ePMiZ6,"Krzysztof Krawczyk (born September 8, 1946 in Katowice, died April 5, 2021 in Łódź) was a Polish pop singer, guitarist and composer. He was the vocalist of a popular Polish band, Trubadurzy, from 1963 to 1973 when he started his solo career. He was co-founder of the Post-secondary School of Stage Art in Łódź. His creative activity in the area of music is characterized by a combination of various music genres such as rock and roll, country music and rhythm & blues. http://www.krzysztofkrawczyk.pl http://www.krzysztofkrawczyk.eu <a href=""https://www.last.fm/music/Krzysztof+Krawczyk"">Read more on Last.fm</a>",92639,1660305,Golec uOrkiestra,Ryszard Rynkowski,Zbigniew Wodecki
Angel D'Agostino Y Su Orquesta Típica,tango,track,No Aflojés,2000,0GQELQFfAGNKY6AWOGNQ6G," <a href=""https://www.last.fm/music/Angel+D%27Agostino+Y+Su+Orquesta+T%C3%ADpica"">Read more on Last.fm</a>",652,8074,Juan D'Arienzo y su Orquesta Típica,Carlos Di Sarli y su Orquesta Típica,Francisco Lomuto y su Orquesta Típica
Roberto Goyeneche,tango,track,Casas Viejas,2000,4KRoohD48SW61AtLGlRzKL,"Roberto Goyeneche (1926 - 1994) was an Argentine tango singer who epitomized the archetype of 1950s Buenos Aires' bohemian life, and became a living legend in the local music scene. It was in 1944, at the age of 18, when the talented troubadour joined Raúl Kaplún's orchestra after winning a local contest, soon, debuting live in a local radio station called Belgrano. In 1952, Goyeneche teamed up with Horacio Salgán and with Aníbal Troilo in 1956 <a href=""https://www.last.fm/music/Roberto+Goyeneche"">Read more on Last.fm</a>",58732,561244,Julio Sosa,Carlos Gardel,Cacho Castaña
Angel D'Agostino Y Su Orquesta Típica,tango,track,A Quien Le Puede Importar,2000,18eeUOfFaJfFfX8Pql7BmZ," <a href=""https://www.last.fm/music/Angel+D%27Agostino+Y+Su+Orquesta+T%C3%ADpica"">Read more on Last.fm</a>",652,8074,Juan D'Arienzo y su Orquesta Típica,Carlos Di Sarli y su Orquesta Típica,Francisco Lomuto y su Orquesta Típica
Juan Carlos Caceres,tango,track,Los Muchachos de Paris,2000,6EmLgjDKTu7Z9zWNxjW07z,"See Juan Carlos Cáceres <a href=""https://www.last.fm/music/+noredirect/Juan+Carlos+Caceres"">Read more on Last.fm</a>",2914,12961,Tango Negro Trio,Conjunto Berretín,Carlos Di Sarli
Angel D'Agostino Y Su Orquesta Típica,tango,track,Ninguna (with Angel Vargas),2000,5N2lcccykbz0hfl7NdtvOE," <a href=""https://www.last.fm/music/Angel+D%27Agostino+Y+Su+Orquesta+T%C3%ADpica"">Read more on Last.fm</a>",652,8074,Juan D'Arienzo y su Orquesta Típica,Carlos Di Sarli y su Orquesta Típica,Francisco Lomuto y su Orquesta Típica
Roberto Goyeneche,tango,track,Caserón de Tejas,2000,6cXoi8GBXtAlLAxgfG6UKr,"Roberto Goyeneche (1926 - 1994) was an Argentine tango singer who epitomized the archetype of 1950s Buenos Aires' bohemian life, and became a living legend in the local music scene. It was in 1944, at the age of 18, when the talented troubadour joined Raúl Kaplún's orchestra after winning a local contest, soon, debuting live in a local radio station called Belgrano. In 1952, Goyeneche teamed up with Horacio Salgán and with Aníbal Troilo in 1956 <a href=""https://www.last.fm/music/Roberto+Goyeneche"">Read more on Last.fm</a>",58732,561244,Julio Sosa,Carlos Gardel,Cacho Castaña
Armando Pontier y su Orquesta Tipica,tango,track,Madame Ivonne,2000,5ELxmvmLSIwCuZcBvBkmUK," <a href=""https://www.last.fm/music/Armando+Pontier+y+su+Orquesta+Tipica"">Read more on Last.fm</a>",917,3422,Aníbal Troilo Y Su Orquesta Típica,Aníbal Troilo Y Su Orquesta Típica;Roberto Goyeneche,Edmundo Rivero
Héctor Ulises Passarella,tango,track,Adíos Nonino (Tango Rapsodia) - orchestrated by Luis Enriques Bacalov,2000,6rwFzuOrH0BRTKCgg8xzq4," <a href=""https://www.last.fm/music/H%C3%A9ctor+Ulises+Passarella"">Read more on Last.fm</a>",131,498,Astor Piazzolla,Quadro Nuevo,Tango Siempre
Angel D'Agostino Y Su Orquesta Típica,tango,track,Esta Noche En Buenos Aires,2000,2EEUt515dDvcTrsKnk5OIr," <a href=""https://www.last.fm/music/Angel+D%27Agostino+Y+Su+Orquesta+T%C3%ADpica"">Read more on Last.fm</a>",652,8074,Juan D'Arienzo y su Orquesta Típica,Carlos Di Sarli y su Orquesta Típica,Francisco Lomuto y su Orquesta Típica
Juan Carlos Caceres,tango,track,Darsena,2000,6IPHRNsD1h7xjtw4zDxcRs,"See Juan Carlos Cáceres <a href=""https://www.last.fm/music/+noredirect/Juan+Carlos+Caceres"">Read more on Last.fm</a>",2914,12961,Tango Negro Trio,Conjunto Berretín,Carlos Di Sarli
Angel D'Agostino Y Su Orquesta Típica,tango,track,Palais De Glace - Palé De Glas,2000,1rukYpwyIwZr9w5wXIi1H9," <a href=""https://www.last.fm/music/Angel+D%27Agostino+Y+Su+Orquesta+T%C3%ADpica"">Read more on Last.fm</a>",652,8074,Juan D'Arienzo y su Orquesta Típica,Carlos Di Sarli y su Orquesta Típica,Francisco Lomuto y su Orquesta Típica
Angel D'Agostino Y Su Orquesta Típica,tango,track,Pero Yo Se,2000,6bOHntWhXY6trPdFPRm3F8," <a href=""https://www.last.fm/music/Angel+D%27Agostino+Y+Su+Orquesta+T%C3%ADpica"">Read more on Last.fm</a>",652,8074,Juan D'Arienzo y su Orquesta Típica,Carlos Di Sarli y su Orquesta Típica,Francisco Lomuto y su Orquesta Típica
Tita Merello,tango,track,Mañana,2000,6SqIMPPJclThtZiP9fFpoT,"Tita Merello was born in 1904 in Buenos Aires. She was a prominent film actress and tango dancer and singer. She made almost 45 appearances in film between 1933 and 1985 spanning 6 decades of Argentine cinema. She entered film in 1933 in Tango and appeared in films such as Arrabalera in 1950, working with acclaimed actors such as Santiago Gómez Cou and Tito Alonso. She retired from film in 1985 and died on Christmas Eve 2002 aged 98. <a href=""https://www.last.fm/music/Tita+Merello"">Read more on Last.fm</a>",18059,124219,Edmundo Rivero,Nelly Omar,Hugo Del Carril
Ana Maria Martinez,tango,track,Misa Tango: Gloria,2000,0UtSR4GDsz6xh3lIUQ7M6X," <a href=""https://www.last.fm/music/Ana+Maria+Martinez"">Read more on Last.fm</a>",399,2655,Roberto Accurso,Stefano Antonucci,Orchestra del Teatro Massimo Bellini di Catania
Ana Maria Martinez,tango,track,Misa Tango: Agnus Dei,2000,6Ldg9yShbIsPhWzNwke1SP," <a href=""https://www.last.fm/music/Ana+Maria+Martinez"">Read more on Last.fm</a>",399,2655,Roberto Accurso,Stefano Antonucci,Orchestra del Teatro Massimo Bellini di Catania
Ana Maria Martinez,tango,track,Misa Tango: Sanctus,2000,6bdaUHAvJMm5DtbfxCJQjt," <a href=""https://www.last.fm/music/Ana+Maria+Martinez"">Read more on Last.fm</a>",399,2655,Roberto Accurso,Stefano Antonucci,Orchestra del Teatro Massimo Bellini di Catania
Ana Maria Martinez,tango,track,Misa Tango: Kyrie,2000,1o9yqnJxFD2PIJBRYtYzTO," <a href=""https://www.last.fm/music/Ana+Maria+Martinez"">Read more on Last.fm</a>",399,2655,Roberto Accurso,Stefano Antonucci,Orchestra del Teatro Massimo Bellini di Catania
Nacha Guevara,tango,track,Se dice de mí,2000,4UEQQwc94Oxyi7uIqo5Kfv,"Nacha Guevara is one of the more prolific, versatile, charismatic, influential, and loved artists. Back in the 70's she performed in New York and shortly after that became well known among the folkloric genre in Mexico and the rest of the Americas. Originally a dancer converted to actress and ultimately learned to sing she rose to become a strong pillar in the latin-american music . One of the most known and remembered songs in U. S. is that one that recites ""Don't cry for me Argentina"". <a href=""https://www.last.fm/music/Nacha+Guevara"">Read more on Last.fm</a>",6695,56143,Liliana Herrero,Silvia Iriondo,Alberto Rojo
Salgan And De Lio,tango,track,Aquellos Tangos Camperos - Tango,2000,4UGJxM1kOa2FY1MPcYITPb," <a href=""https://www.last.fm/music/Salgan+And+De+Lio"">Read more on Last.fm</a>",162,915,Roberto Goyeneche & Nestor Marconi,Fleurs Noires,Susana Lago & Miguel Angel Sola
Edmund Vera,tango,track,Elastic Tango,2000,2PTWGUzGNw01az7Xbfv958," <a href=""https://www.last.fm/music/Edmund+Vera"">Read more on Last.fm</a>",813,2444,The lasser play orchestra,Norman Candler,Joe & Harry Orchestra
Castellina Pasi,tango,track,Caro tango,2000,2nPps7OQq19d9EqT8UncaR,"Beautiful Italian Fisarmonica and dance music <a href=""https://www.last.fm/music/Castellina+Pasi"">Read more on Last.fm</a>",3227,17556,Castellina-Pasi,Carlo Venturi,Raoul Casadei
The Shadows,tango,track,Guitar Tango,2000,7KLBW3yq3Mw6f8nxtDEcWJ,"There is more than one act that goes by the name 'The Shadows'; 1) The Shadows (originally known as the Drifters) were an English instrumental rock group, who dominated the British popular music charts in the late 1950s and early 1960s, in the pre-Beatles era. They served as the backing band for Cliff Richard from 1958 to 1968, and have joined him for several reunion tours. The Shadows have had 69 UK chart singles from the 1950s to the 2000s, 35 credited to the Shadows and 34 to Cliff Richard and the Shadows. <a href=""https://www.last.fm/music/The+Shadows"">Read more on Last.fm</a>",383368,4015948,The Ventures,Cliff Richard,The Searchers
Karl Schmidt Big Band,tango,track,Blue Tango,2000,0W0iW1lrdZE88aWJ2ZEgH1," <a href=""https://www.last.fm/music/karl+schmidt+big+band"">Read more on Last.fm</a>",427,2041,Quick & Slow Band,Anacapri Band Orchestra,Cluck Band Orchestra
辛島文雄,tango,track,American Tango,2000,6NJxJUZjHAEgPaBInu0T9H,"辛島文雄 / Fumio Karashima was a Japanese jazz pianist <a href=""https://www.last.fm/music/%E8%BE%9B%E5%B3%B6%E6%96%87%E9%9B%84"">Read more on Last.fm</a>",1459,6463,山口真文,本田竹彦,鈴木“チン”良雄
Los Iracundos,tango,track,Ultimo Tango en París,2000,3jiqmHXuaJFOu7QKg8HBAc,"Los Iracundos is a popular Uruguayan rock and romantic ballad band formed in 1958 in Paysandú, Uruguay. The group was founded by brothers Eduardo Franco (lead singer and songwriter) and Leonard Franco (lead guitarist), along with fellow musicians Juan Bosco Zabalo, John Bosco, Hugo Burgueño, Jesús María Febrero, and Alberto González. They gained international fame in the 1960s and 1970s, especially across Latin America, with their unique blend of pop rock, romantic lyrics, and orchestral arrangements. <a href=""https://www.last.fm/music/Los+Iracundos"">Read more on Last.fm</a>",47924,496634,King Clave,Myriam Hernández,Marisela
Selva Erdener,tango,track,Lorca Tango,2000,2i6SPKOUOEEoyMsLoqxRlY," <a href=""https://www.last.fm/music/Selva+Erdener"">Read more on Last.fm</a>",5213,60343,Muammer Sun,Ahmed Adnan Saygun,Ulvi Cemal Erkin
Damiron,tango,track,Last Tango in Paris,2000,6spYKEnGKwJnWdngzy1rzq,"Misspelling for Damirón please correct your ID3 tags <a href=""https://www.last.fm/music/Damiron"">Read more on Last.fm</a>",1994,9740,Damiron y Chapuseaux,Noro Morales,Bobby Capo
Hollywood Strings Orchestra,tango,track,Blue Tango,2000,4yXHO5s4EZWj1eVeAPG13b," <a href=""https://www.last.fm/music/Hollywood+Strings+Orchestra"">Read more on Last.fm</a>",8182,41990,Orchestra Querencio,Louis Adrien,René Cloërec
Manuel & The Music Of The Mountains,tango,track,Blue Tango,2000,4fsdTGElb17Hv9UfYsRHSL,"This is the pseudonym for Geoff Love's easy listening Latin themed recordings. Geoff Love is a director, arranger, composer and one of the UK’s most popular easy-listening music personalities. Learned to play the trombone in his local brass band and made his first broadcast in 1937 on Radio Normandy. He moved to the south of England, and played with violinist Jan Ralfini’s Dance Orchestra in London and with the Alan Green Band in Hastings. Joined Harry Gold’s Pieces Of Eight in 1946, and stayed with them until 1949. <a href=""https://www.last.fm/music/Manuel+&+The+Music+Of+The+Mountains"">Read more on Last.fm</a>",13076,102645,The Percy Faith Strings,Roy Etzel,Frank Chacksfield & His Orchestra
Les Amis D'ta Femme,tango,track,Le tango du viagra,2000,7a6DKEFavFeNFtI2Hf4R2P,"Les Amis D'ta Femme (ADTF) is a french band of ""rock musette"" from Nancy, created in 1997. <a href=""https://www.last.fm/music/Les+Amis+d%27ta+Femme"">Read more on Last.fm</a>",13911,172067,Les Fils de Teuhpu,Les Blérots de R.A.V.E.L,Les Blaireaux
Ricardo Tanturi,tango,track,Asi se baila el tango,2000,0g3maqBZebtqT4N7f1YSbh," Musician, pianist, leader and composer (January 27, 1905 - January 24, 1973) Full Name: Ricardo Tanturi Nickname: El caballero del tango Though he never stood out for his musical skills, Tanturi led for several decades a renowned orchestra which owed its success basically to the strong appeal of some of its singers. For this reason, the instrumental pieces played by his mediocre orchestra are few and little recalled. However, his fame would persist along time and in the last years with the success of tango dancing <a href=""https://www.last.fm/music/Ricardo+Tanturi"">Read more on Last.fm</a>",7980,100276,Edgardo Donato,Rodolfo Biagi,Miguel Caló
Mario Visconti,tango,track,"Uno... "" Si Yo Tuviera un Corazón "" (Tango)",2000,7550CZQK2JVAieJ64y2TZz,"Mario Visconti, stage name of Mariano Royo, was born in Zaragoza (1908) and started singing tangos in Barcelona in the late twenties to great popular acclaim. He soon began to make recordings for the Parlophon house and later switched to Odeon. He was heard by Gardel who encouraged him to go on. He toured Europe with different musicians, among them were the guitarist Rafael Iriarte, the pianist Juan Cruz Mateo and the bandleader José Melin. His duos with Carmencita Aubert were very successful and were often committed to record. <a href=""https://www.last.fm/music/Mario+Visconti"">Read more on Last.fm</a>",280,952,Lolita Garrido,Ana María González,Juanita Cuenca
Cuarteto Guardia Vieja,tango,track,Don Juan,2000,13bn5nGrxs0kX75e80hYBM," <a href=""https://www.last.fm/music/Cuarteto+Guardia+Vieja"">Read more on Last.fm</a>",998,3864,Orquesta Tipica Victor,Francisco Canaro,Agustín Magaldi
Donato Racciatti y Su Orquesta Típica,tango,track,Tu Corazon,2000,7pLZVG4ur1vaABZIfPFsNm," <a href=""https://www.last.fm/music/Donato+Racciatti+y+Su+Orquesta+T%C3%ADpica"">Read more on Last.fm</a>",370,2147,Solo Tango Orquesta,Nina Miranda,Orquesta Típica Misteriosa Buenos Aires
Gran Orquesta Cuerdas Latinas,tango,track,Celos,2000,5YnickBT2PYbZM5goaiXp0," <a href=""https://www.last.fm/music/Gran+Orquesta+Cuerdas+Latinas"">Read more on Last.fm</a>",13,156,,,
Pedro Laurenz,tango,track,Amurado,2000,4kj1FWPrS5YDrRF5IrOYG9,"Bandoneonist, director and composer (October 10, 1902 - July 7, 1972) Full Name: Pedro Blanco Acosta (Laurenz was the last name of his mother's first husband) <a href=""https://www.last.fm/music/Pedro+Laurenz"">Read more on Last.fm</a>",16349,102064,Roberto Firpo,Edgardo Donato,Miguel Caló
Gran Orquesta Cuerdas Latinas,tango,track,Sentimiento Gaucho,2000,4jBf8nWrY1oLFOD029cCC9," <a href=""https://www.last.fm/music/Gran+Orquesta+Cuerdas+Latinas"">Read more on Last.fm</a>",13,156,,,
Cuarteto Guardia Vieja,tango,track,Canaro en París,2000,6P0Z2Xt4aBqDxzzptOIm7D," <a href=""https://www.last.fm/music/Cuarteto+Guardia+Vieja"">Read more on Last.fm</a>",998,3864,Orquesta Tipica Victor,Francisco Canaro,Agustín Magaldi
Gran Orquesta Cuerdas Latinas,tango,track,Nostalgia,2000,3HY0MSSXwXFP7FyU2PuEoS," <a href=""https://www.last.fm/music/Gran+Orquesta+Cuerdas+Latinas"">Read more on Last.fm</a>",13,156,,,
Gran Orquesta Cuerdas Latinas,tango,track,Cafetín de Buenos Aires,2000,1rt7ikUXxntFSXTlWYWBwl," <a href=""https://www.last.fm/music/Gran+Orquesta+Cuerdas+Latinas"">Read more on Last.fm</a>",13,156,,,
Cuarteto Guardia Vieja,tango,track,Rodriguez Peña,2000,7GXGlsxHj2r2zYnKW4zESj," <a href=""https://www.last.fm/music/Cuarteto+Guardia+Vieja"">Read more on Last.fm</a>",998,3864,Orquesta Tipica Victor,Francisco Canaro,Agustín Magaldi
Nicolás Colacho Brizuela,tango,track,Chique,2000,4uKK83YthW5Uk3yTWyZX04," <a href=""https://www.last.fm/music/Nicol%C3%A1s+Colacho+Brizuela"">Read more on Last.fm</a>",106,739,Rodolfo Mederos,Aníbal Arias,Carlos Moscardini
Orquesta Cuerdas Latinas,tango,track,Yira Yira,2000,2LFmEh4FZSXevFteUhIwee," <a href=""https://www.last.fm/music/Orquesta+Cuerdas+Latinas"">Read more on Last.fm</a>",633,2184,Aldo Livorno y su acordeón Napolitano,Cuerdas Y Metales,Orquesta Cuerdas Y Metales
Alfredo De Angelis,tango,track,El taladro,2000,5fJ3doxe7mJkkQfiubKcod,"Nickname: El colorado Pianist, leader and composer. (November 2, 1910 - March 31, 1992) He was born at the locality of Adrogué (south of grand Buenos Aires) and since early childhood he started to study sight-reading and harmony. His early gigs were accompanying the singer Juan Giliberti, who used to announce his shows with advertisements that said that Gardel himself had appointed him as his musical heir. Soon he switched to Anselmo Aieta's orchestra replacing the pianist Juan Polito. <a href=""https://www.last.fm/music/Alfredo+De+Angelis"">Read more on Last.fm</a>",33557,289380,Francisco Canaro,Rodolfo Biagi,Osvaldo Fresedo
Alfredo Gobbi,tango,track,La viruta,2000,1jW6ni9LE4xYQFRWyiDxOg,"Alfredo Gobbi (May 14, 1912 - May 21, 1965) was a violinist, composer and orchestra leader, born in Paris of Uruguayan parents. He made his professional debut at age 13. During the 1930's he played with Anibal Troilo, Osvaldo Pugliese, and Pedro Laurenz, among others. In 1942 he formed his own orchestra. Among his admirers, one of the most fervent was Astor Piazzolla, who referred to him frequently. Gobbi was known as ""the romantic violin of tango"". <a href=""https://www.last.fm/music/Alfredo+Gobbi"">Read more on Last.fm</a>",8754,46398,Lucio Demare,Quinteto Pirincho,Roberto Firpo
Donato Racciatti y Su Orquesta Típica,tango,track,Hoy de Nuevo Amor,2000,3K5ji0WexRbJnrQolO1UzR," <a href=""https://www.last.fm/music/Donato+Racciatti+y+Su+Orquesta+T%C3%ADpica"">Read more on Last.fm</a>",370,2147,Solo Tango Orquesta,Nina Miranda,Orquesta Típica Misteriosa Buenos Aires
Cuarteto Guardia Vieja,tango,track,La puñalada,2000,6UNXsKVRd1ljUvkDmnZxuH," <a href=""https://www.last.fm/music/Cuarteto+Guardia+Vieja"">Read more on Last.fm</a>",998,3864,Orquesta Tipica Victor,Francisco Canaro,Agustín Magaldi
Adolfo Carabelli,tango,track,Felicia,2000,7kIDn8dKt5IaCD7Ej0OFGQ,"Pianist, composer and leader (8 September 1893 - 25 January 1947) Complete name: Adolfo Carabelli <a href=""https://www.last.fm/music/Adolfo+Carabelli"">Read more on Last.fm</a>",2689,22539,Edgardo Donato,Angel D'agostino,Ricardo Tanturi
Gran Orquesta Cuerdas Latinas,tango,track,Volver,2000,4Ww3W9mcbBKJyAUXY040Cf," <a href=""https://www.last.fm/music/Gran+Orquesta+Cuerdas+Latinas"">Read more on Last.fm</a>",13,156,,,
Cuarteto Guardia Vieja,tango,track,Olga,2000,74dGblC1xfDtKe5NdLrdmT," <a href=""https://www.last.fm/music/Cuarteto+Guardia+Vieja"">Read more on Last.fm</a>",998,3864,Orquesta Tipica Victor,Francisco Canaro,Agustín Magaldi
Ariel Ramírez,tango,track,Lejos del Bien Amado,2000,7bb4sANsQPItjEspI8Cj3J,"Ariel Ramírez (4 September 1921 – 18 February 2010) was an Argentine composer, pianist and music director. He was considered ""a chief exponent of Argentine folk music"" and noted for his ""iconic"" musical compositions. Ramírez is known primarily for his Misa Criolla (1964). It allowed him to travel around Europe and Latin America to build his reputation. He had more than 300 compositions during his career and sold millions of albums. By the time he died in 2010, his work was globally renowned. <a href=""https://www.last.fm/music/+noredirect/Ariel+Ram%C3%ADrez"">Read more on Last.fm</a>",13224,118440,Los Chalchaleros,Eduardo Falú,Los Fronterizos
Atilio Stampone,tango,track,Vida Mía,2000,6IEynvkq4YnKmk3nAbp9rB," <a href=""https://www.last.fm/music/Atilio+Stampone"">Read more on Last.fm</a>",1206,5022,Leopoldo Federico,Osvaldo Berlingieri,Armando Pontier
Cuarteto Guardia Vieja,tango,track,Felicia,2000,03ysgNnMT5o6hkBeGYK91U," <a href=""https://www.last.fm/music/Cuarteto+Guardia+Vieja"">Read more on Last.fm</a>",998,3864,Orquesta Tipica Victor,Francisco Canaro,Agustín Magaldi
Julio De Caro,tango,track,El monito,2000,3Ydlu0Fhu8RcEuwdZyfOPI,"Julio de Caro (December 11, 1899 – March 11, 1980) was an Argentine composer, musician and conductor prominent in the Tango genre. His father opened a conservatory in the San Telmo district, in 1913, soon becoming one of the city's best known sources for music, instruments, parts, and lessons. He and his brother, Francisco, were both taught the piano and violin, respectively; though their father ultimately granted them their wish to exchange instruments (a third brother, Emilio, learned the violin). <a href=""https://www.last.fm/music/Julio+De+Caro"">Read more on Last.fm</a>",16421,86585,Roberto Firpo,Quinteto Pirincho,Pedro Laurenz
Rodolfo Biagi,tango,track,Re fa si,2000,1XsCCSANIxAnEeFZ2gMZJI,"Rodolfo Alberto Biagi was born in the Buenos Aires district of San Telmo on March 14, 1906 to Sixto & Ana Maria Gil Landaburu. At the age 13 he graduated from the Conservatory de la Prensa where he had originally studied to be a concert violinist but gradually had converted to the piano. After earning his first money accompanying the silent films (from the piano keyboard) shown at the Colon cinema he was invited by the legendary Juan ""Pacho"" Maglio to play in his orchestra at barely 15 years of age <a href=""https://www.last.fm/music/Rodolfo+Biagi"">Read more on Last.fm</a>",19749,201776,Edgardo Donato,Osvaldo Fresedo,Miguel Caló
Gran Orquesta Cuerdas Latinas,tango,track,Vida Mía,2000,0MLN4hhDD9DvqprCadYPv1," <a href=""https://www.last.fm/music/Gran+Orquesta+Cuerdas+Latinas"">Read more on Last.fm</a>",13,156,,,
Donato Racciatti y Su Orquesta Típica,tango,track,Quien Sabe de Amor,2000,70hvrRzAAgfdZmwrbpJE9A," <a href=""https://www.last.fm/music/Donato+Racciatti+y+Su+Orquesta+T%C3%ADpica"">Read more on Last.fm</a>",370,2147,Solo Tango Orquesta,Nina Miranda,Orquesta Típica Misteriosa Buenos Aires
Orquesta Cuerdas Latinas,tango,track,Quejas de Bandoneón,2000,1gfDtLADhpfFfdp7IUOOhw," <a href=""https://www.last.fm/music/Orquesta+Cuerdas+Latinas"">Read more on Last.fm</a>",633,2184,Aldo Livorno y su acordeón Napolitano,Cuerdas Y Metales,Orquesta Cuerdas Y Metales
Orquesta Cuerdas Latinas,tango,track,Cuesta Abajo,2000,5J0ZK0tJP2KQKXD0kmiLbj," <a href=""https://www.last.fm/music/Orquesta+Cuerdas+Latinas"">Read more on Last.fm</a>",633,2184,Aldo Livorno y su acordeón Napolitano,Cuerdas Y Metales,Orquesta Cuerdas Y Metales
Lisandro Adrover,tango,track,Susu,2000,396igPdgDZ5TRD7jJEftNi,"Composer, arranger and -most of all- bandoneon player extraordinaire Lisandro Adrover was invited to arrange his music for the string section of the famous Dutch radio orchestra The Metropole Orchestra. Fortunately their joint concert has been recorded and is now released on Saphrane. The spirit of tango cannot be in more capable hands. Parallel with his career as a musician, Lisandro Adrover [Argentina, 1945] also engaged himself in composing, arranging and conducting. <a href=""https://www.last.fm/music/Lisandro+Adrover"">Read more on Last.fm</a>",2778,7171,Tango Orkestret,Gerardo Gandini,Pablo Aslan
Orquesta Cuerdas Latinas,tango,track,Vida Mía,2000,5xgPc863Qw8WAzxNEWdgMT," <a href=""https://www.last.fm/music/Orquesta+Cuerdas+Latinas"">Read more on Last.fm</a>",633,2184,Aldo Livorno y su acordeón Napolitano,Cuerdas Y Metales,Orquesta Cuerdas Y Metales
Angel D'Agostino,tango,track,Racing Club,2000,0owpwthSo48UTEpj4OISO7,"Angel Domingo Emilio D'Agostino (Buenos Aires, May 25, 1900 - January 16, 1991) was an Argentine tango pianist and composer. He played piano as a child and he studied at the conservatory and began very young to perform in public with a trio, in with also Juan D'Arienzo. In 1920, hired by the Palais de Glace, he formed his own orchestra. They played tango and jazz and accompanied silent films. In 1932 he met Angel Vargas. In 1934 he formed an orchestra dedicated exclusively to tango <a href=""https://www.last.fm/music/Angel+D%27agostino"">Read more on Last.fm</a>",4572,40123,Ricardo Tanturi,Adolfo Carabelli,Rodolfo Biagi
Osvaldo Fresedo,tango,track,Pimienta,2000,5JOYvyvgXxSe9IUHLKiz0A,"Osvaldo Fresedo (n. Buenos Aires, 5 de mayo de 1897 - † Buenos Aires, 18 de noviembre de 1984), compositor y director de orquesta de tango, también conocido como ""El pibe de La Paternal"". Fue de origen acomodado y su madre le dio las primeras lecciones de música, pero siendo aun pequeño su familia se trasladó a un barrio más popular y fue allí donde empezó su interés por el tango. Aprendió a pulsar el bandoneón y siendo todavía adolescente integró varias de las más conocidas orquestas de la época de la Guardia Vieja. <a href=""https://www.last.fm/music/Osvaldo+Fresedo"">Read more on Last.fm</a>",20462,165925,Roberto Firpo,Rodolfo Biagi,Pedro Laurenz
Cuarteto Guardia Vieja,tango,track,Taquito militar,2000,5Atc7GtIcjjZKnBYnwpLE8," <a href=""https://www.last.fm/music/Cuarteto+Guardia+Vieja"">Read more on Last.fm</a>",998,3864,Orquesta Tipica Victor,Francisco Canaro,Agustín Magaldi
Osvaldo Pugliese,tango,track,Recuerdo,2000,45yKtzOyyHVcjfrMUAUGc2,"Osvaldo Pedro Pugliese (December 2, 1905 - July 25, 1995) was an Argentine tango musician. He developed dramatic arrangements that retained strong elements of the walking beat of salon tango but also heralded the development of concert-style tango music. Some of his music is used for theatrical dance performances. In Buenos Aires, Pugliese is often played later in the evening when the dancers want to dance more slowly, impressionistically and intimately. <a href=""https://www.last.fm/music/Osvaldo+Pugliese"">Read more on Last.fm</a>",57388,534954,Juan D'Arienzo,Carlos Gardel,Julio Sosa
Ricardo Tanturi,tango,track,Cancion de rango,2000,0QBfy4B43kXMYUrYlvfcMo," Musician, pianist, leader and composer (January 27, 1905 - January 24, 1973) Full Name: Ricardo Tanturi Nickname: El caballero del tango Though he never stood out for his musical skills, Tanturi led for several decades a renowned orchestra which owed its success basically to the strong appeal of some of its singers. For this reason, the instrumental pieces played by his mediocre orchestra are few and little recalled. However, his fame would persist along time and in the last years with the success of tango dancing <a href=""https://www.last.fm/music/Ricardo+Tanturi"">Read more on Last.fm</a>",7980,100276,Edgardo Donato,Rodolfo Biagi,Miguel Caló
Ariel Ramírez,tango,track,Organito de la Tarde,2000,6clavNqiPBnuSgw3bRMY3z,"Ariel Ramírez (4 September 1921 – 18 February 2010) was an Argentine composer, pianist and music director. He was considered ""a chief exponent of Argentine folk music"" and noted for his ""iconic"" musical compositions. Ramírez is known primarily for his Misa Criolla (1964). It allowed him to travel around Europe and Latin America to build his reputation. He had more than 300 compositions during his career and sold millions of albums. By the time he died in 2010, his work was globally renowned. <a href=""https://www.last.fm/music/+noredirect/Ariel+Ram%C3%ADrez"">Read more on Last.fm</a>",13224,118440,Los Chalchaleros,Eduardo Falú,Los Fronterizos
Ariel Ramírez,tango,track,El Amanecer,2000,3KZRriqynRcuGnUDARAZ3v,"Ariel Ramírez (4 September 1921 – 18 February 2010) was an Argentine composer, pianist and music director. He was considered ""a chief exponent of Argentine folk music"" and noted for his ""iconic"" musical compositions. Ramírez is known primarily for his Misa Criolla (1964). It allowed him to travel around Europe and Latin America to build his reputation. He had more than 300 compositions during his career and sold millions of albums. By the time he died in 2010, his work was globally renowned. <a href=""https://www.last.fm/music/+noredirect/Ariel+Ram%C3%ADrez"">Read more on Last.fm</a>",13224,118440,Los Chalchaleros,Eduardo Falú,Los Fronterizos
