artista,genero,tipo,nombre,año_lanzamiento,id,bio,oyentes,reproducciones,similar_1,similar_2,similar_3
The Notorious B.I.G.,hip hop,track,Points,2000,7eRtH9xfNYE5Uvq97Wl4yC,"Christopher George Latore Wallace (May 21, 1972 – March 9, 1997), known professionally as The Notorious B.I.G., Biggie Smalls, or Biggie, was an American rapper. He is widely considered to be one of the greatest hip-hop artists of all time. Wallace was born and raised in the Brooklyn borough of New York City. His debut album Ready to Die (1994) made him a central figure in East Coast hip hop and increased New York City's visibility in the genre at a time when West Coast hip hop dominated the mainstream. <a href=""https://www.last.fm/music/The+Notorious+B.I.G."">Read more on Last.fm</a>",3686886,94479630,2Pac,Dr. Dre,Mobb Deep
George Benson,hip hop,track,Hipping The Hop,2000,6ACp6KIEtyaFguM4eDbjxH,"George Benson is a jazz guitarist born in Pittsburgh, Pennsylvania, USA on 22 March 1943. He started out playing straight-ahead instrumental jazz with organist Jack McDuff. Benson got his first experience playing with his several-year stint with McDuff's group. In 1964, at the age of 21, Benson recorded his first album as leader, The New Boss Guitar, with Brother Jack McDuff on organ. Benson's next recording was It's Uptown with the George Benson Quartet with Lonnie Smith on organ and Ronnie Cuber on baritone sax. <a href=""https://www.last.fm/music/George+Benson"">Read more on Last.fm</a>",989385,10855110,Al Jarreau,Lee Ritenour,George Duke
Marley Marl,hip hop,track,Hip Hop Dictionary Introduction,2000,74LVlcOY6hzuVDmGok1NrI,"Marlon Williams (born September 30, 1962 in Queens, New York City), better known as Marley Marl, is an influential hip-hop producer. He was the house producer of the Juice Crew, which, in addition to Marley Marl himself, included: Big Daddy Kane, Biz Markie, Roxanne Shanté, Kool G Rap, MC Shan (his cousin) and Masta Ace, and produced songs for outside artists including King Tee and LL Cool J. He was also an important figure in the careers of Eric B. <a href=""https://www.last.fm/music/Marley+Marl"">Read more on Last.fm</a>",48453,221212,Lord Finesse & DJ Mike Smooth,K-Solo,Cold Crush Brothers
Marley Marl,hip hop,track,Hip Hop History #4,2000,2WFOYoylWQQ2OvZsBFrHy8,"Marlon Williams (born September 30, 1962 in Queens, New York City), better known as Marley Marl, is an influential hip-hop producer. He was the house producer of the Juice Crew, which, in addition to Marley Marl himself, included: Big Daddy Kane, Biz Markie, Roxanne Shanté, Kool G Rap, MC Shan (his cousin) and Masta Ace, and produced songs for outside artists including King Tee and LL Cool J. He was also an important figure in the careers of Eric B. <a href=""https://www.last.fm/music/Marley+Marl"">Read more on Last.fm</a>",48453,221212,Lord Finesse & DJ Mike Smooth,K-Solo,Cold Crush Brothers
Marley Marl,hip hop,track,Hip Hop History #3,2000,7AL6orFAs6hJ0hQia4OMw5,"Marlon Williams (born September 30, 1962 in Queens, New York City), better known as Marley Marl, is an influential hip-hop producer. He was the house producer of the Juice Crew, which, in addition to Marley Marl himself, included: Big Daddy Kane, Biz Markie, Roxanne Shanté, Kool G Rap, MC Shan (his cousin) and Masta Ace, and produced songs for outside artists including King Tee and LL Cool J. He was also an important figure in the careers of Eric B. <a href=""https://www.last.fm/music/Marley+Marl"">Read more on Last.fm</a>",48453,221212,Lord Finesse & DJ Mike Smooth,K-Solo,Cold Crush Brothers
Marley Marl,hip hop,track,Hip Hop History #1,2000,36vNzOtRcW5d6cXqrLarl6,"Marlon Williams (born September 30, 1962 in Queens, New York City), better known as Marley Marl, is an influential hip-hop producer. He was the house producer of the Juice Crew, which, in addition to Marley Marl himself, included: Big Daddy Kane, Biz Markie, Roxanne Shanté, Kool G Rap, MC Shan (his cousin) and Masta Ace, and produced songs for outside artists including King Tee and LL Cool J. He was also an important figure in the careers of Eric B. <a href=""https://www.last.fm/music/Marley+Marl"">Read more on Last.fm</a>",48453,221212,Lord Finesse & DJ Mike Smooth,K-Solo,Cold Crush Brothers
Marley Marl,hip hop,track,Hip Hop Dictionary Outro,2000,6x7BMWErDFFRjiVX8L1g03,"Marlon Williams (born September 30, 1962 in Queens, New York City), better known as Marley Marl, is an influential hip-hop producer. He was the house producer of the Juice Crew, which, in addition to Marley Marl himself, included: Big Daddy Kane, Biz Markie, Roxanne Shanté, Kool G Rap, MC Shan (his cousin) and Masta Ace, and produced songs for outside artists including King Tee and LL Cool J. He was also an important figure in the careers of Eric B. <a href=""https://www.last.fm/music/Marley+Marl"">Read more on Last.fm</a>",48453,221212,Lord Finesse & DJ Mike Smooth,K-Solo,Cold Crush Brothers
Marley Marl,hip hop,track,Hip Hop History #2,2000,5vEsZMmwPXi0JZI7T08fOW,"Marlon Williams (born September 30, 1962 in Queens, New York City), better known as Marley Marl, is an influential hip-hop producer. He was the house producer of the Juice Crew, which, in addition to Marley Marl himself, included: Big Daddy Kane, Biz Markie, Roxanne Shanté, Kool G Rap, MC Shan (his cousin) and Masta Ace, and produced songs for outside artists including King Tee and LL Cool J. He was also an important figure in the careers of Eric B. <a href=""https://www.last.fm/music/Marley+Marl"">Read more on Last.fm</a>",48453,221212,Lord Finesse & DJ Mike Smooth,K-Solo,Cold Crush Brothers
The Rapsody,hip hop,track,Time For A Change,2000,1oDaBMp4dDhTxViHyCzWNc,"The correct tag for female artist is Rapsody. The Rapsody is alias of Voelker Brothers (producers). The Rapsody Overture: Hip Hop Meets Classic is a concept album of remixes consisting of Hip Hop and Classical genre of music which combined American rappers with European opera singers. It was released in 1997 by Mercury Records and distributed by Def Jam Recordings. ""Prince Igor"" was a #1 hit across Europe in 1998, a duet between American rapper Warren G and Sissel Kyrkjebø. <a href=""https://www.last.fm/music/+noredirect/The+Rapsody"">Read more on Last.fm</a>",9465,51829,Phonte,Nxworries,Che Noir
The Rapsody,hip hop,track,A Child Is Born,2000,3Dy2oqY03ZznJ5SlROGCD1,"The correct tag for female artist is Rapsody. The Rapsody is alias of Voelker Brothers (producers). The Rapsody Overture: Hip Hop Meets Classic is a concept album of remixes consisting of Hip Hop and Classical genre of music which combined American rappers with European opera singers. It was released in 1997 by Mercury Records and distributed by Def Jam Recordings. ""Prince Igor"" was a #1 hit across Europe in 1998, a duet between American rapper Warren G and Sissel Kyrkjebø. <a href=""https://www.last.fm/music/+noredirect/The+Rapsody"">Read more on Last.fm</a>",9465,51829,Phonte,Nxworries,Che Noir
The Rapsody,hip hop,track,Africa,2000,7LrGYCFzrjk6J6ViGJn7bN,"The correct tag for female artist is Rapsody. The Rapsody is alias of Voelker Brothers (producers). The Rapsody Overture: Hip Hop Meets Classic is a concept album of remixes consisting of Hip Hop and Classical genre of music which combined American rappers with European opera singers. It was released in 1997 by Mercury Records and distributed by Def Jam Recordings. ""Prince Igor"" was a #1 hit across Europe in 1998, a duet between American rapper Warren G and Sissel Kyrkjebø. <a href=""https://www.last.fm/music/+noredirect/The+Rapsody"">Read more on Last.fm</a>",9465,51829,Phonte,Nxworries,Che Noir
